,FUTH (tertiary),First Mercy (private),Tim-Unity (specialist),Mendeley,Kaggle/UCI,All Nigerian,All external
n,122,155,105,1072,452,382,1524
"Age, years",29.8 (5.0),33.8 (9.4),38.3 (12.8) [4.8% miss],27.1 (8.5) [0.3% miss],28.6 (13.1) [1.5% miss],33.7 (9.9) [1.3% miss],27.5 (10.1) [0.7% miss]
"Systolic BP, mmHg",119.3 (18.1),123.7 (18.7),103.7 (21.7),116.8 (19.0) [0.4% miss],110.6 (17.9),116.8 (21.0),114.9 (18.9) [0.3% miss]
"Diastolic BP, mmHg",75.0 (12.5),77.9 (10.2),77.1 (12.1),77.4 (14.5) [0.2% miss],75.4 (13.8),76.8 (11.5),76.8 (14.3) [0.1% miss]
"Body temperature, °F",97.9 (0.8) [0.8% miss],99.0 (1.5),99.5 (1.8),98.4 (1.1),98.7 (1.4),98.8 (1.5) [0.3% miss],98.5 (1.2)
"Heart rate, bpm",86.8 (10.7),76.3 (7.7),75.1 (8.4),76.0 (7.3) [0.1% miss],74.1 (7.5) [0.2% miss],79.3 (10.3),75.4 (7.4) [0.1% miss]
"Blood sugar, mmol/L",not measured,9.8 (3.5),10.5 (3.8),7.5 (3.1) [0.1% miss],8.3 (2.8),10.1 (3.7) [31.9% miss],7.7 (3.0) [0.1% miss]
"High risk, n (%)",106 (86.9),62 (40.0),40 (38.1),444 (41.4),112 (24.8),208 (54.5),556 (36.5)
"Mid risk, n (%)",0 (0.0),47 (30.3),35 (33.3),0 (0.0),106 (23.5),82 (21.5),106 (7.0)
"Low risk, n (%)",16 (13.1),46 (29.7),30 (28.6),628 (58.6),234 (51.8),92 (24.1),862 (56.6)
